champion,lane,winrate
Caitlyn,ad,45.62
Caitlyn,support,62.5
Janna,top,0.5
Janna,jung,36.36
Janna,mid,0.5
Janna,ad,0.5
Janna,support,53.09
Malzahar,top,43.75
Malzahar,jung,0.5
Malzahar,mid,50.21
Malzahar,ad,45.45
Malzahar,support,61.54
Morgana,top,0.5
Morgana,jung,0.5
Morgana,mid,37.5
Morgana,ad,0.5
Morgana,support,47.17
Yuumi,top,57.89
Yuumi,jung,50.0
Yuumi,mid,52.17
Yuumi,ad,57.14
Yuumi,support,49.95
Kassadin,top,0.5
Kassadin,jung,0.5
Kassadin,mid,44.53
Kassadin,ad,0.5
Kassadin,support,0.5
Soraka,top,46.67
Soraka,jung,0.5
Soraka,mid,50.0
Soraka,ad,50.0
Soraka,support,48.54
Zeri,top,61.54
Zeri,jung,56.0
Zeri,mid,50.0
Zeri,ad,50.09
Zeri,support,41.94
Lucian,top,54.55
Lucian,jung,68.75
Lucian,mid,58.82
Lucian,ad,51.04
Lucian,support,33.33
Diana,top,52.94
Diana,jung,44.14
Diana,mid,50.68
Diana,ad,0.5
Diana,support,0.5
Nocturne,top,50.0
Nocturne,jung,54.89
Nocturne,mid,33.33
Nocturne,ad,0.5
Nocturne,support,0.5
Blitzcrank,top,0.5
Blitzcrank,jung,57.89
Blitzcrank,mid,50.0
Blitzcrank,ad,55.56
Blitzcrank,support,51.59
Fiddlesticks,top,33.33
Fiddlesticks,jung,48.7
Fiddlesticks,mid,58.33
Fiddlesticks,ad,0.5
Fiddlesticks,support,59.65
Twisted Fate,top,0.5
Twisted Fate,jung,0.5
Twisted Fate,mid,46.7
Twisted Fate,ad,0.5
Twisted Fate,support,0.5
Azir,top,50.0
Azir,jung,0.5
Azir,mid,44.31
Azir,ad,0.5
Azir,support,0.5
Tristana,top,61.76
Tristana,jung,63.64
Tristana,mid,54.23
Tristana,ad,47.41
Tristana,support,54.55
Xayah,top,46.67
Xayah,jung,46.15
Xayah,mid,60.0
Xayah,ad,50.89
Xayah,support,45.0
Lux,top,58.82
Lux,jung,0.5
Lux,mid,45.98
Lux,ad,50.0
Lux,support,49.91
Seraphine,top,0.5
Seraphine,jung,0.5
Seraphine,mid,49.23
Seraphine,ad,57.65
Seraphine,support,46.85
Talon,top,33.33
Talon,jung,45.15
Talon,mid,51.49
Talon,ad,0.5
Talon,support,0.5
Draven,top,35.71
Draven,jung,0.5
Draven,mid,83.33
Draven,ad,52.57
Draven,support,0.5
Vi,top,27.27
Vi,jung,47.86
Vi,mid,53.85
Vi,ad,0.5
Vi,support,0.5
Varus,top,60.0
Varus,jung,68.75
Varus,mid,50.0
Varus,ad,52.14
Varus,support,35.29
Vex,top,0.5
Vex,jung,84.62
Vex,mid,54.79
Vex,ad,0.5
Vex,support,66.67
Trundle,top,50.0
Trundle,jung,46.3
Trundle,mid,0.5
Trundle,ad,0.5
Trundle,support,0.5
Swain,top,63.64
Swain,jung,0.5
Swain,mid,49.15
Swain,ad,53.06
Swain,support,43.7
Samira,top,0.5
Samira,jung,53.33
Samira,mid,28.57
Samira,ad,51.67
Samira,support,0.5
Vel'Koz,top,0.5
Vel'Koz,jung,0.5
Vel'Koz,mid,53.04
Vel'Koz,ad,54.55
Vel'Koz,support,48.28
Nautilus,top,53.85
Nautilus,jung,50.0
Nautilus,mid,51.09
Nautilus,ad,58.82
Nautilus,support,52.09
Elise,top,71.43
Elise,jung,54.15
Elise,mid,0.5
Elise,ad,0.5
Elise,support,71.43
Rakan,top,58.33
Rakan,jung,77.78
Rakan,mid,33.33
Rakan,ad,71.43
Rakan,support,52.14
Jhin,top,0.5
Jhin,jung,0.5
Jhin,mid,33.33
Jhin,ad,45.51
Jhin,support,26.67
Sivir,top,0.5
Sivir,jung,58.33
Sivir,mid,42.86
Sivir,ad,48.49
Sivir,support,0.5
Ashe,top,0.5
Ashe,jung,0.5
Ashe,mid,41.18
Ashe,ad,46.05
Ashe,support,48.24
Taliyah,top,0.5
Taliyah,jung,45.65
Taliyah,mid,48.6
Taliyah,ad,0.5
Taliyah,support,50.0
Kog'Maw,top,0.5
Kog'Maw,jung,0.5
Kog'Maw,mid,44.64
Kog'Maw,ad,50.0
Kog'Maw,support,45.0
Braum,top,0.5
Braum,jung,83.33
Braum,mid,0.5
Braum,ad,0.5
Braum,support,44.89
Rell,top,0.5
Rell,jung,0.5
Rell,mid,0.5
Rell,ad,0.5
Rell,support,56.63
Senna,top,0.5
Senna,jung,0.5
Senna,mid,31.25
Senna,ad,52.27
Senna,support,51.24
Xerath,top,0.5
Xerath,jung,0.5
Xerath,mid,51.11
Xerath,ad,66.67
Xerath,support,46.34
Orianna,top,0.5
Orianna,jung,0.5
Orianna,mid,47.86
Orianna,ad,58.33
Orianna,support,46.67
Nilah,top,0.5
Nilah,jung,0.5
Nilah,mid,0.5
Nilah,ad,52.8
Nilah,support,0.5
Ivern,top,14.29
Ivern,jung,48.05
Ivern,mid,0.5
Ivern,ad,0.5
Ivern,support,46.67
Bard,top,0.5
Bard,jung,0.5
Bard,mid,0.5
Bard,ad,0.5
Bard,support,55.0
Zyra,top,0.5
Zyra,jung,0.5
Zyra,mid,0.5
Zyra,ad,0.5
Zyra,support,47.94
Taric,top,0.5
Taric,jung,0.5
Taric,mid,0.5
Taric,ad,0.5
Taric,support,60.74
Miss Fortune,top,0.5
Miss Fortune,jung,0.5
Miss Fortune,mid,72.73
Miss Fortune,ad,51.49
Miss Fortune,support,37.84
Corki,top,0.5
Corki,jung,0.5
Corki,mid,45.78
Corki,ad,0.5
Corki,support,0.5
Ziggs,top,0.5
Ziggs,jung,0.5
Ziggs,mid,51.2
Ziggs,ad,48.19
Ziggs,support,40.0
Sona,top,0.5
Sona,jung,0.5
Sona,mid,0.5
Sona,ad,0.5
Sona,support,48.3
